duration_ns,first_row_ns,rows,explain_rows,partitions
155872,146896,1,1,
134361,132378,1,1,
176685,171949,4,1,
377429,371996,4,4,
2521965,689592,500,1344,
250884356,250870823,1,1,
1286378,1263816,4,1,
19164984480,19164934826,91,13969926,
11134812429,11134723531,100,10379568,
8702570288,8702493472,100,10379568,
10064305271,10064219641,100,10379568,
34625010330,34624948949,100,10379568,
37196428118,37196210032,100,1551903,
14110458109,14110402244,100,1551903,
103240731472,103240684573,100,10379568,
4547921,4541703,8,8,
3769297,3766039,4,4,
12330418,12325578,8,8,
53730611001,51091198211,2113503,13969926,
61276934999,61276875295,100,13969926,
